업소아이디,업소명,분류코드,분류코드명,업소 주소,업소 전화번호,추천수,상품명,상품가격(일반)(원)
6017,아폴로헤어크리닉,5,이 미용업,서울특별시 중랑구 사가정로50길 67 (면목동),495-7337        ,450,미용료(파마),27000
6015,상록수 미용실,5,이 미용업,서울특별시 중랑구 동일로99길 22 (면목동),-,432,미용료(파마),15000
4506,열린미용실,5,이 미용업,서울특별시 관악구 난곡로40길 16 (신림동),-,336,커트(어르신 포함),6000
4506,열린미용실,5,이 미용업,서울특별시 관악구 난곡로40길 16 (신림동),-,336,파마,25000
3002,미림17분칼라,13,기타서비스업종,서울특별시 관악구 호암로26길 1 (신림동),871-7070        ,318,인화료,200
4242,덕성이발관,5,이 미용업,서울특별시 관악구 장군봉2길 11 (봉천동),-,264,이용료(커트),7000
5948,헤어디자인하우스,5,이 미용업,서울특별시 관악구 은천로 93 (봉천동 벽산블루밍아파트) 101동 401호,3285-8002       ,258,파마,20000
5948,헤어디자인하우스,5,이 미용업,서울특별시 관악구 은천로 93 (봉천동 벽산블루밍아파트) 101동 401호,3285-8002       ,258,커트,5000
1739,목우촌 프로포크,1,한식,서울특별시 관악구 남현1길 68-10 (남현동),588-7399        ,257,된장찌개,5000
1739,목우촌 프로포크,1,한식,서울특별시 관악구 남현1길 68-10 (남현동),588-7399        ,257,삼겹살(200g),10000
1739,목우촌 프로포크,1,한식,서울특별시 관악구 남현1길 68-10 (남현동),588-7399        ,257,냉동삼겹살,6000
4325,청진동해장국,1,한식,서울특별시 관악구 관악로 105 (봉천동) 동산빌딩1층,875-9882        ,252,뼈해장국,5000
4325,청진동해장국,1,한식,서울특별시 관악구 관악로 105 (봉천동) 동산빌딩1층,875-9882        ,252,냉면,5000
4325,청진동해장국,1,한식,서울특별시 관악구 관악로 105 (봉천동) 동산빌딩1층,875-9882        ,252,선지해장국,4000
6688,행운미용실,5,이 미용업,서울특별시 중랑구 동일로120길 121-11 (상봉동),2208-7385       ,250,미용료(파마),15000
7851,오백냥분식,1,한식,서울특별시 송파구 가락로 112 (석촌동),414-2261,236,된장찌개백반,4500
7851,오백냥분식,1,한식,서울특별시 송파구 가락로 112 (석촌동),414-2261,236,칼국수,4000
7851,오백냥분식,1,한식,서울특별시 송파구 가락로 112 (석촌동),414-2261,236,김치찌개백반,4500
7851,오백냥분식,1,한식,서울특별시 송파구 가락로 112 (석촌동),414-2261,236,김밥,1500
6764,토방 닭 한마리,1,한식,서울특별시 관악구 신림로22길 5 (신림동),874-6895        ,214,닭칼국수,6000
6764,토방 닭 한마리,1,한식,서울특별시 관악구 신림로22길 5 (신림동),874-6895        ,214,닭한마리,20000
6764,토방 닭 한마리,1,한식,서울특별시 관악구 신림로22길 5 (신림동),874-6895        ,214,닭곰탕(육수+가슴살) ,6000
6412,호계대중사우나,6,목욕업,서울특별시 중랑구 봉화산로56길 153 (신내동) 지하2층,433-5490        ,210,목욕료(성인),5000
6220,행복한미용실,5,이 미용업,서울특별시 관악구 양지2길 24 (신림동),889-1882        ,182,파마,20000
6220,행복한미용실,5,이 미용업,서울특별시 관악구 양지2길 24 (신림동),889-1882        ,182,커트,6000
3436,재경헤어라인,5,이 미용업,서울특별시 관악구 봉천로13길 7 (봉천동),889-8241        ,172,커트,8000
3436,재경헤어라인,5,이 미용업,서울특별시 관악구 봉천로13길 7 (봉천동),889-8241        ,172,파마,20000
6408,한독세탁,7,세탁업,서울특별시 중랑구 동일로 752 (중화동 중화한신아파트)  1층,433-2058        ,166,양복세탁료,5000
3986,왕세숫대야냉면(행복을파는집),1,한식,서울특별시 강서구 공항대로 423(등촌동),02-2668-3608,163,돈가스,4000
3986,왕세숫대야냉면(행복을파는집),1,한식,서울특별시 강서구 공항대로 423(등촌동),02-2668-3608,163,냉면,3500
