Date,삼성전자,LG전자,카카오,NAVER,CJ,한화,현대자동차,기아자동차
2020-01-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-02,55200.0,71000.0,30609.0,182500.0,93800.0,24350.0,118000.0,42500.0
2020-01-03,55500.0,71100.0,30609.0,181500.0,92600.0,24550.0,116000.0,42000.0
2020-01-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-06,55500.0,69900.0,31010.0,180500.0,90300.0,23500.0,116000.0,41900.0
2020-01-07,55800.0,70300.0,32114.0,187000.0,91100.0,23650.0,115500.0,42050.0
2020-01-08,56800.0,67500.0,32014.0,183000.0,90900.0,22500.0,112000.0,41300.0
2020-01-09,58600.0,66600.0,32917.0,186000.0,90400.0,22550.0,111500.0,40750.0
2020-01-10,59500.0,66800.0,33118.0,188000.0,90200.0,22650.0,113500.0,40400.0
2020-01-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-13,60000.0,66600.0,33519.0,188000.0,91200.0,22900.0,115000.0,40450.0
2020-01-14,60000.0,68300.0,33519.0,190500.0,92100.0,23550.0,116000.0,41150.0
2020-01-15,59000.0,69600.0,34121.0,191500.0,92400.0,23800.0,115000.0,41200.0
2020-01-16,60700.0,69900.0,34422.0,191500.0,92600.0,23700.0,118500.0,41150.0
2020-01-17,61300.0,69200.0,33820.0,191000.0,92400.0,23600.0,118500.0,41400.0
2020-01-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-20,62400.0,71200.0,33820.0,187500.0,91800.0,23600.0,118000.0,41600.0
2020-01-21,61400.0,70100.0,33118.0,182000.0,91500.0,23800.0,117000.0,41600.0
2020-01-22,62300.0,70400.0,33318.0,186000.0,91500.0,23750.0,127000.0,42600.0
2020-01-23,60800.0,69000.0,33218.0,183000.0,90000.0,23500.0,130500.0,43400.0
2020-01-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-28,58800.0,67100.0,32616.0,178500.0,86200.0,22300.0,131000.0,42700.0
2020-01-29,59100.0,67200.0,32817.0,180000.0,84700.0,22600.0,131000.0,42550.0
2020-01-30,57200.0,67200.0,32516.0,180000.0,84100.0,22400.0,127500.0,41950.0
2020-01-31,56400.0,65900.0,31913.0,179500.0,82800.0,21750.0,125000.0,40900.0
2020-02-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-03,57200.0,64900.0,32014.0,177500.0,82000.0,21400.0,123500.0,40100.0
2020-02-04,58900.0,65100.0,33017.0,180500.0,84700.0,22000.0,124000.0,40250.0
2020-02-05,59500.0,65200.0,32716.0,181500.0,84000.0,22000.0,124000.0,39400.0
2020-02-06,61100.0,66800.0,33318.0,181500.0,86000.0,23100.0,132000.0,41300.0
2020-02-07,60400.0,67300.0,33620.0,185000.0,85700.0,23050.0,131000.0,40500.0
2020-02-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-10,59700.0,67000.0,33921.0,183500.0,84500.0,23000.0,130000.0,40650.0
2020-02-11,59900.0,67200.0,34121.0,184500.0,84900.0,23000.0,132500.0,41350.0
2020-02-12,60500.0,67900.0,34523.0,185000.0,88300.0,23400.0,136000.0,41650.0
2020-02-13,60700.0,67100.0,35928.0,184500.0,95400.0,23150.0,133000.0,41250.0
2020-02-14,61800.0,67000.0,36129.0,186500.0,95500.0,22900.0,133500.0,41650.0
2020-02-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-17,61500.0,67000.0,36229.0,188500.0,95600.0,22900.0,135500.0,41450.0
2020-02-18,59800.0,68900.0,36530.0,186500.0,94300.0,22600.0,132500.0,41350.0
2020-02-19,60200.0,68800.0,38136.0,189500.0,93400.0,22250.0,131500.0,41300.0
2020-02-20,60000.0,67200.0,38236.0,190000.0,92800.0,21950.0,130000.0,40550.0
2020-02-21,59200.0,66100.0,38035.0,189500.0,89500.0,21350.0,128000.0,40050.0
2020-02-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-24,56800.0,63300.0,36831.0,184000.0,85900.0,20350.0,122500.0,38600.0
2020-02-25,57900.0,63000.0,37232.0,190500.0,86000.0,20700.0,122500.0,38150.0
2020-02-26,56500.0,63300.0,36931.0,187000.0,84800.0,20300.0,122500.0,38150.0
2020-02-27,55900.0,62400.0,35827.0,182000.0,84100.0,20400.0,121000.0,37700.0
2020-02-28,54200.0,60400.0,34523.0,174000.0,80500.0,20050.0,115000.0,36250.0
2020-02-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-02,55000.0,60100.0,35125.0,175000.0,79400.0,19950.0,113500.0,34500.0
2020-03-03,55400.0,60200.0,35125.0,175000.0,81300.0,20400.0,112500.0,34900.0
2020-03-04,57400.0,60600.0,36028.0,178500.0,82600.0,20500.0,113000.0,35750.0
2020-03-05,57800.0,61500.0,36028.0,181000.0,83400.0,21150.0,114000.0,35900.0
2020-03-06,56500.0,60300.0,35225.0,179500.0,81300.0,20450.0,110500.0,34650.0
2020-03-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-09,54200.0,57800.0,33620.0,168000.0,78500.0,19700.0,104000.0,33000.0
2020-03-10,54600.0,60000.0,34724.0,172000.0,76400.0,19750.0,102000.0,31950.0
2020-03-11,52100.0,59000.0,33921.0,170000.0,72700.0,19300.0,100000.0,31800.0
2020-03-12,50800.0,55500.0,32315.0,166500.0,68800.0,18050.0,95000.0,30500.0
2020-03-13,49950.0,52500.0,31913.0,166000.0,63700.0,17000.0,87200.0,28850.0
2020-03-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-16,48900.0,50400.0,29605.0,155000.0,65000.0,16850.0,82900.0,27100.0
2020-03-17,47300.0,49450.0,29605.0,151000.0,64700.0,16300.0,80100.0,25350.0
2020-03-18,45600.0,48000.0,28301.0,146000.0,61000.0,14750.0,73500.0,25300.0
2020-03-19,42950.0,43650.0,26896.0,144000.0,55300.0,12500.0,65900.0,22550.0
2020-03-20,45400.0,45100.0,30007.0,154000.0,57800.0,13750.0,71100.0,24150.0
2020-03-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-23,42500.0,41850.0,28802.0,143000.0,53100.0,12050.0,68900.0,21500.0
2020-03-24,46950.0,44400.0,31010.0,156000.0,59900.0,12800.0,74800.0,23100.0
2020-03-25,48650.0,48500.0,31010.0,156000.0,64900.0,14150.0,84500.0,25150.0
2020-03-26,47800.0,49000.0,30207.0,152500.0,65300.0,14100.0,84900.0,25050.0
2020-03-27,48300.0,49400.0,30609.0,164000.0,64700.0,14750.0,86400.0,25500.0
2020-03-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-30,47850.0,48500.0,30709.0,162500.0,64100.0,14800.0,85400.0,24950.0
2020-03-31,47750.0,48200.0,31211.0,170000.0,64500.0,15300.0,88700.0,26000.0
2020-04-01,45800.0,48100.0,30207.0,163000.0,62200.0,15200.0,85400.0,25550.0
2020-04-02,46800.0,49300.0,31512.0,173500.0,63100.0,15750.0,86600.0,25800.0
2020-04-03,47000.0,49850.0,31612.0,172000.0,63400.0,15800.0,86300.0,25400.0
2020-04-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-06,48700.0,51100.0,32215.0,173000.0,68900.0,17050.0,88800.0,26800.0
2020-04-07,49600.0,54500.0,32114.0,169500.0,70700.0,17300.0,90400.0,28250.0
2020-04-08,48600.0,53300.0,31713.0,166500.0,72000.0,17550.0,90000.0,28250.0
2020-04-09,49100.0,54200.0,31713.0,167500.0,73300.0,18100.0,97100.0,30150.0
2020-04-10,49250.0,53800.0,32315.0,166500.0,73100.0,18300.0,99700.0,31000.0
2020-04-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-13,48300.0,53200.0,31612.0,166000.0,71800.0,17850.0,97800.0,29500.0
2020-04-14,49000.0,53600.0,32014.0,168500.0,72000.0,18200.0,100000.0,29850.0
2020-04-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-16,49000.0,53500.0,33218.0,170500.0,70800.0,18000.0,99100.0,29000.0
2020-04-17,51400.0,54500.0,34523.0,179000.0,72200.0,18350.0,100500.0,29900.0
2020-04-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-20,50100.0,53800.0,35125.0,180000.0,72000.0,17950.0,97600.0,29350.0
2020-04-21,49250.0,52600.0,35225.0,178500.0,70700.0,17900.0,93500.0,28850.0
2020-04-22,49850.0,52400.0,35526.0,182000.0,71300.0,17800.0,92600.0,28400.0
2020-04-23,49850.0,53300.0,37232.0,190000.0,71900.0,18450.0,92400.0,28800.0
2020-04-24,49350.0,52600.0,36731.0,192500.0,71700.0,18450.0,90100.0,27700.0
2020-04-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-27,49850.0,53400.0,36931.0,197500.0,82300.0,18950.0,91600.0,28600.0
2020-04-28,50100.0,53600.0,37132.0,198000.0,81500.0,19400.0,93200.0,29250.0
2020-04-29,50000.0,54900.0,36931.0,197500.0,81000.0,20700.0,93600.0,29650.0
2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-04,48500.0,55200.0,37433.0,199000.0,78600.0,19100.0,91500.0,28700.0
2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-06,49200.0,55500.0,40043.0,212000.0,83300.0,18950.0,93200.0,29150.0
2020-05-07,48800.0,54700.0,41347.0,215500.0,83200.0,18950.0,92600.0,29000.0
2020-05-08,48800.0,55200.0,41347.0,214000.0,80000.0,19200.0,94500.0,30500.0
2020-05-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-11,48400.0,54500.0,41648.0,214500.0,78800.0,19200.0,93700.0,30550.0
2020-05-12,47900.0,54500.0,43053.0,219500.0,77300.0,18800.0,91900.0,29700.0
2020-05-13,48550.0,55000.0,43455.0,218500.0,79000.0,19150.0,93100.0,29700.0
2020-05-14,48000.0,54200.0,45161.0,219000.0,79300.0,18900.0,92300.0,28700.0
2020-05-15,47850.0,54400.0,44458.0,213000.0,80000.0,18900.0,92300.0,29100.0
2020-05-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-18,48800.0,56400.0,44358.0,215000.0,82300.0,19250.0,91900.0,29350.0
2020-05-19,50300.0,58200.0,44157.0,213500.0,84300.0,19400.0,99100.0,31700.0
2020-05-20,50000.0,58000.0,46465.0,222000.0,86500.0,19300.0,97300.0,30850.0
2020-05-21,49950.0,57200.0,47670.0,225000.0,88200.0,19650.0,97200.0,30600.0
2020-05-22,48750.0,56300.0,49577.0,230500.0,88600.0,19550.0,94500.0,30100.0
2020-05-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-25,48850.0,56100.0,53792.0,241000.0,91000.0,19600.0,96000.0,30400.0
2020-05-26,49250.0,57100.0,54193.0,239000.0,88800.0,19650.0,97800.0,31500.0
2020-05-27,49900.0,59500.0,52286.0,228500.0,89100.0,20200.0,98100.0,31950.0
2020-05-28,50400.0,58500.0,53591.0,240500.0,87100.0,20050.0,97200.0,32100.0
2020-05-29,50700.0,59300.0,52888.0,226000.0,91900.0,20100.0,98000.0,34250.0
2020-05-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-01,51200.0,59200.0,52989.0,237000.0,92000.0,20400.0,100000.0,34600.0
2020-06-02,51400.0,60000.0,52086.0,234000.0,91700.0,20400.0,102500.0,36500.0
2020-06-03,54500.0,62100.0,50078.0,225500.0,91700.0,21050.0,108500.0,36800.0
2020-06-04,54600.0,62200.0,50982.0,232500.0,92000.0,20900.0,108500.0,36000.0
2020-06-05,55500.0,63000.0,50379.0,231000.0,91600.0,21200.0,111000.0,36550.0
2020-06-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-08,54900.0,64000.0,51483.0,240500.0,91100.0,22850.0,113000.0,37450.0
2020-06-09,55500.0,66600.0,51082.0,237500.0,91000.0,28950.0,112000.0,36700.0
2020-06-10,55400.0,70100.0,52587.0,244000.0,93100.0,27050.0,111500.0,36100.0
2020-06-11,54300.0,69000.0,53189.0,240500.0,91500.0,25350.0,108500.0,35700.0
