"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20190901","일","여","30대","서울특별시","강남구","개포동","치킨","5"
"20190901","일","남","30대","서울특별시","강남구","논현동","치킨","20"
"20190901","일","남","30대","서울특별시","강남구","삼성동","치킨","20"
"20190901","일","남","30대","서울특별시","강남구","세곡동","치킨","5"
"20190901","일","남","30대","서울특별시","강남구","수서동","치킨","5"
"20190901","일","여","60대이상","서울특별시","강남구","수서동","치킨","5"
"20190901","일","여","60대이상","서울특별시","강남구","도곡동","치킨","5"
"20190901","일","여","30대","서울특별시","강남구","논현동","치킨","24"
"20190901","일","여","30대","서울특별시","강남구","도곡동","치킨","5"
"20190901","일","여","30대","서울특별시","강남구","삼성동","치킨","28"
"20190901","일","여","30대","서울특별시","강남구","역삼동","치킨","30"
"20190901","일","남","10대","서울특별시","강남구","논현동","치킨","8"
"20190901","일","여","10대","서울특별시","강남구","삼성동","치킨","5"
"20190901","일","남","60대이상","서울특별시","강남구","개포동","치킨","5"
"20190901","일","남","60대이상","서울특별시","강남구","논현동","치킨","5"
"20190901","일","남","60대이상","서울특별시","강남구","삼성동","치킨","5"
"20190901","일","여","10대","서울특별시","강남구","신사동","치킨","5"
"20190901","일","여","20대","서울특별시","강남구","개포동","치킨","9"
"20190901","일","여","20대","서울특별시","강남구","논현동","치킨","12"
"20190901","일","남","40대","서울특별시","강남구","세곡동","치킨","5"
"20190901","일","여","50대","서울특별시","강남구","역삼동","치킨","7"
"20190901","일","여","50대","서울특별시","강남구","삼성동","치킨","14"
"20190901","일","여","50대","서울특별시","강남구","대치동","치킨","5"
"20190901","일","남","40대","서울특별시","강남구","삼성동","치킨","35"
"20190901","일","남","40대","서울특별시","강남구","논현동","치킨","25"
"20190901","일","남","40대","서울특별시","강남구","개포동","치킨","13"
"20190901","일","여","20대","서울특별시","강남구","수서동","치킨","5"
"20190901","일","여","20대","서울특별시","강남구","역삼동","치킨","13"
"20190901","일","여","40대","서울특별시","강남구","수서동","치킨","5"
"20190901","일","여","40대","서울특별시","강남구","삼성동","치킨","67"
"20190901","일","여","20대","서울특별시","강남구","삼성동","치킨","14"
"20190901","일","여","50대","서울특별시","강남구","세곡동","치킨","5"
"20190901","일","여","50대","서울특별시","강남구","도곡동","치킨","5"
"20190901","일","여","50대","서울특별시","강남구","논현동","치킨","7"
"20190901","일","여","50대","서울특별시","강남구","개포동","치킨","5"
"20190901","일","여","40대","서울특별시","강남구","개포동","치킨","18"
"20190901","일","남","30대","서울특별시","강남구","개포동","치킨","5"
"20190901","일","남","30대","서울특별시","강남구","역삼동","치킨","23"
"20190901","일","여","10대","서울특별시","강남구","역삼동","치킨","5"
"20190901","일","남","60대이상","서울특별시","강남구","대치동","치킨","5"
"20190901","일","남","10대","서울특별시","강남구","역삼동","치킨","5"
"20190901","일","남","10대","서울특별시","강남구","도곡동","치킨","5"
"20190901","일","여","10대","서울특별시","강남구","논현동","치킨","5"
"20190901","일","남","50대","서울특별시","강남구","역삼동","치킨","5"
"20190901","일","남","50대","서울특별시","강남구","수서동","치킨","5"
"20190901","일","남","50대","서울특별시","강남구","삼성동","치킨","12"
"20190901","일","남","10대","서울특별시","강남구","삼성동","치킨","11"
"20190901","일","남","10대","서울특별시","강남구","수서동","치킨","5"
"20190901","일","남","60대이상","서울특별시","강남구","역삼동","치킨","7"
"20190901","일","남","10대","서울특별시","강남구","개포동","치킨","5"
"20190901","일","남","40대","서울특별시","강남구","일원동","치킨","5"
"20190901","일","여","60대이상","서울특별시","강남구","역삼동","치킨","6"
"20190901","일","남","20대","서울특별시","강남구","개포동","치킨","5"
"20190901","일","남","20대","서울특별시","강남구","논현동","치킨","30"
"20190901","일","남","20대","서울특별시","강남구","삼성동","치킨","12"
"20190901","일","남","20대","서울특별시","강남구","역삼동","치킨","11"
"20190901","일","남","20대","서울특별시","강남구","일원동","치킨","5"
"20190901","일","남","40대","서울특별시","강남구","역삼동","치킨","26"
"20190901","일","여","40대","서울특별시","강남구","논현동","치킨","22"
"20190901","일","남","50대","서울특별시","강남구","도곡동","치킨","5"
"20190901","일","남","50대","서울특별시","강남구","대치동","치킨","5"
"20190901","일","남","50대","서울특별시","강남구","논현동","치킨","5"
"20190901","일","남","50대","서울특별시","강남구","개포동","치킨","5"
"20190901","일","여","40대","서울특별시","강남구","대치동","치킨","5"
"20190901","일","여","60대이상","서울특별시","강남구","삼성동","치킨","6"
"20190901","일","여","60대이상","서울특별시","강남구","논현동","치킨","5"
"20190901","일","여","60대이상","서울특별시","강남구","개포동","치킨","8"
"20190901","일","여","30대","서울특별시","강남구","세곡동","치킨","5"
"20190901","일","여","10대","서울특별시","강남구","개포동","치킨","5"
"20190901","일","여","30대","서울특별시","강남구","일원동","치킨","5"
"20190901","일","여","40대","서울특별시","강남구","도곡동","치킨","5"
"20190901","일","여","40대","서울특별시","강남구","역삼동","치킨","29"
"20190901","일","여","40대","서울특별시","강남구","일원동","치킨","5"
"20190901","일","여","10대","서울특별시","강동구","성내동","치킨","5"
"20190901","일","남","10대","서울특별시","강동구","상일동","치킨","5"
"20190901","일","남","20대","서울특별시","강동구","둔촌동","치킨","5"
"20190901","일","여","50대","서울특별시","강동구","성내동","치킨","18"
"20190901","일","여","50대","서울특별시","강동구","상일동","치킨","6"
"20190901","일","여","40대","서울특별시","강동구","암사동","치킨","5"
"20190901","일","남","60대이상","서울특별시","강동구","성내동","치킨","5"
"20190901","일","남","40대","서울특별시","강동구","상일동","치킨","17"
"20190901","일","남","50대","서울특별시","강동구","상일동","치킨","6"
"20190901","일","남","10대","서울특별시","강동구","성내동","치킨","9"
"20190901","일","여","30대","서울특별시","강동구","상일동","치킨","6"
"20190901","일","여","20대","서울특별시","강동구","암사동","치킨","5"
"20190901","일","남","30대","서울특별시","강동구","천호동","치킨","5"
"20190901","일","여","20대","서울특별시","강동구","성내동","치킨","23"
"20190901","일","여","30대","서울특별시","강동구","암사동","치킨","5"
"20190901","일","남","20대","서울특별시","강동구","천호동","치킨","5"
"20190901","일","여","20대","서울특별시","강동구","상일동","치킨","5"
"20190901","일","여","20대","서울특별시","강동구","둔촌동","치킨","5"
"20190901","일","남","60대이상","서울특별시","강동구","상일동","치킨","5"
"20190901","일","남","40대","서울특별시","강동구","천호동","치킨","5"
"20190901","일","남","40대","서울특별시","강동구","성내동","치킨","28"
"20190901","일","남","30대","서울특별시","강동구","길동","치킨","5"
"20190901","일","남","30대","서울특별시","강동구","상일동","치킨","14"
"20190901","일","남","30대","서울특별시","강동구","성내동","치킨","36"
"20190901","일","여","60대이상","서울특별시","강동구","성내동","치킨","9"
"20190901","일","여","60대이상","서울특별시","강동구","상일동","치킨","5"
"20190901","일","남","50대","서울특별시","강동구","성내동","치킨","18"
"20190901","일","여","20대","서울특별시","강동구","천호동","치킨","5"
"20190901","일","여","50대","서울특별시","강동구","둔촌동","치킨","5"
"20190901","일","여","60대이상","서울특별시","강동구","천호동","치킨","5"
"20190901","일","여","30대","서울특별시","강동구","성내동","치킨","36"
"20190901","일","여","30대","서울특별시","강동구","천호동","치킨","5"
"20190901","일","여","40대","서울특별시","강동구","성내동","치킨","38"
"20190901","일","남","50대","서울특별시","강동구","길동","치킨","5"
"20190901","일","여","40대","서울특별시","강동구","상일동","치킨","19"
"20190901","일","남","20대","서울특별시","강동구","상일동","치킨","5"
