,일련번호,노선명,기점,기점 경도,기점 위도,중기점,중기점 경도,중기점 위도,종점,종점 경도,종점 위도
0,1,가련산로L,덕진동695-6(가련교),127.1101128,35.8402758,덕진동2가 245-34,127.1140487,35.8442958,덕진동2가142-28(가련광장),127.11737690000001,35.8468882
1,2,가련산로R,덕진동695-6(가련교),127.1101128,35.8402758,덕진동2가 245-8,127.11422069999999,35.8443975,덕진동2가142-27(가련광장),127.11675759999999,35.84698
2,3,가리내로L,덕진동2가693-5(가련교),127.10943950000001,35.8406236,덕진동2가 646-34,127.1063071,35.843175099999996,덕진동2가683(하가더루벤스아파트),127.10816820000001,35.84559539999999
3,4,가리내로R,덕진동2가693-5(가련교),127.10943950000001,35.8406236,덕진동2가 646-34,127.1063071,35.843175099999996,덕진동2가683(하가더루벤스아파트),127.10816820000001,35.84559539999999
4,5,거마평로L,삼천동1가767-1,127.11577659999999,35.7931821,삼천2동 592,127.11707520000002,35.8001722,효자동3가 37-47,127.1171614,35.8061778
5,6,거마평로R,삼천동1가767-1,127.11577659999999,35.7931821,삼천2동 592,127.11707520000002,35.8001722,효자동3가 37-47,127.1171614,35.8061778
6,7,건산로L,인후동2가261-8(고려정형외과),127.1451879,35.8323891,인후3동 448-42,127.1576435,35.8337284,산정동875-6,127.1711982,35.8372114
7,8,건산로R,인후동2가261-8(고려정형외과),127.1451879,35.8323891,인후3동 448-42,127.1576435,35.8337284,산정동875-6,127.1711982,35.8372114
8,9,건지산로1L,덕진동1가산18-10,127.13300579999999,35.851476,덕진동1가 산31,127.1341239,35.85298710000001, 덕진동1가 640-7(전주덕진실내배드민턴장),127.1356433,35.8528281
9,10,건지산로1R,덕진동1가산18-10,127.13300579999999,35.851476,덕진동1가 산31,127.1341239,35.85298710000001, 덕진동1가 640-7(전주덕진실내배드민턴장),127.1356433,35.8528281
10,11,건지산로2L, 덕진동1가 640-7(전주덕진실내배드민턴장),127.1356433,35.8528281,덕진동1가 88-18,127.13687900000001,35.8553248,덕진동1가산1-1(한국소리문화의전당),127.13930570000001,35.8547006
11,12,건지산로2R, 덕진동1가 640-7(전주덕진실내배드민턴장),127.1356433,35.8528281,덕진동1가 88-18,127.13687900000001,35.8553248,덕진동1가산1-1(한국소리문화의전당),127.13930570000001,35.8547006
12,13,견훤로1L,남노송동131-36,127.1614462,35.8181425,중노송동 13-27,127.16144070000001,35.82135220000001,중노송동 785(아중로 교차점),127.1614188,35.824627299999996
13,14,견훤로1R,남노송동131-36,127.1614462,35.8181425,중노송동 13-27,127.16144070000001,35.82135220000001,중노송동 785(아중로 교차점),127.1614188,35.824627299999996
14,15,견훤로2L,중노송동 785(아중로 교차점),127.1614188,35.824627299999996,견훤로 350,127.15461859999999,35.8425654,우아동3가743-158(효성네거리),127.1564419,35.8564777
15,16,견훤로2R,중노송동 785(아중로 교차점),127.1614188,35.824627299999996,견훤로 350,127.15461859999999,35.8425654,우아동3가743-158(효성네거리),127.1564419,35.8564777
16,17,견훤왕궁로1L,중노송동774-12,127.1527303,35.821176,중노송동 산61-13,127.15401809999999,35.8291555,인후동1가 661-12,127.1488051,35.835006299999996
17,18,견훤왕궁로1R,중노송동774-12,127.1527303,35.821176,중노송동 산61-13,127.15401809999999,35.8291555,인후동1가 661-12,127.1488051,35.835006299999996
18,19,견훤왕궁로2L,인후동2가 26-8(인후2동주민센터),127.1462384,35.839881899999995,견훤왕궁로 268-1,127.14503549999999,35.842025799999995,인후동2가1529-1,127.14429979999998,35.843773299999995
19,20,견훤왕궁로2R,인후동2가 26-8(인후2동주민센터),127.1462384,35.839881899999995,견훤왕궁로 268-1,127.14503549999999,35.842025799999995,인후동2가1529-1,127.14429979999998,35.843773299999995
20,21,과학로R,송천동2가310-1(송천육교),127.1247632,35.870133200000005,전미동1가 56-18,127.1289979,35.888166,전미동1가208-2(화포대교),127.1246936,35.8996989
21,22,기린대로1L,교동1-2(한벽루),127.16028870000001,35.81185429999999,덕진동1가 1401-1 태양전기,127.1224081,35.844459,팔복소방파출소,127.09333159999998,35.8596312
22,23,기린대로1R,교동1-1(한벽루),127.1603539,35.8119474,덕진동1가 1401-1 태양전기,127.1224081,35.844459,팔복소방파출소,127.09333159999998,35.8596312
23,24,기린대로2L,팔복소방파출소,127.09333159999998,35.8596312,동산동 502-13,127.08431399999999,35.863858,호남제일문광장,127.07060279999999,35.869619799999995
24,25,기린대로2R,팔복소방파출소,127.09333159999998,35.8596312,동산동 502-13,127.08431399999999,35.863858,호남제일문광장,127.07060279999999,35.869619799999995
