,baseDate,cctvCnt,cctvIns,manageNm,newAddr,oldAddr,pacNm,pacType,posx,posy,precinct,roadWidth,seq
0,2018-08-14,,N,전라북도 전주시,전라북도 전주시 덕진구 정여립로 874 전주아름유치원,전라북도 전주시 덕진구 만성동 832,전주아름유치원,유치원,127.072049,35.830038,전주덕진경찰서,,246
1,2018-08-14,1.0,Y,전라북도 전주시,전라북도 전주시 덕진구 경동로 11 하가초등학교병설유치원,전라북도 전주시 덕진구 덕진동2가 685,하가초등학교병설유치원,유치원,127.107006,35.843711,전주덕진경찰서,,245
2,2018-08-14,1.0,Y,전라북도 전주시,전라북도 전주시 덕진구 경동로 11 전주하가초등학교,전라북도 전주시 덕진구 덕진동2가 685,전주하가초등학교,초등학교,127.107006,35.843711,전주덕진경찰서,,244
3,2018-08-14,,N,전라북도 전주시,전라북도 전주시 덕진구 세병로 55 전주화정초등학교,전라북도 전주시 덕진구 송천동2가 1310,전주화정초등학교,초등학교,127.131441,35.873026,전주덕진경찰서,,243
4,2018-08-14,,N,전라북도 전주시,전라북도 전주시 완산구 봉곡로 60 전주새연초등학교,전라북도 전주시 완산구 효자동2가 1314-5,전주새연초등학교,초등학교,127.100448,35.811629,전주완산경찰서,,242
5,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 원동로 3 전주원동초등학교,전라북도 전주시 덕진구 원동 361-1,원동초등학교병설유치원,유치원,127.033475,35.8511321,전주덕진경찰서,,241
6,2018-08-14,,N,전라북도 전주시,전라북도 전주시 완산구 전룡4길 12-4 유레카어린이집,전라북도 전주시 완산구 서신동 893-1,유레카유치원,유치원,127.1198676,35.8264149,전주완산경찰서,,240
7,2018-08-14,4.0,Y,전라북도 전주시,전라북도 전주시 덕진구 틀못1길 6-7 이튼유치원,전라북도 전주시 덕진구 장동 1068-3,이튼유치원,유치원,127.0573468,35.8416273,전주덕진경찰서,,239
8,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 완산구 서곡2길 13-6 이화유치원,전라북도 전주시 완산구 효자동3가 1443-1,이화유치원,유치원,127.1026441,35.8344635,전주완산경찰서,,238
9,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 건산로 213-16 인후유치원,전라북도 전주시 덕진구 인후동1가 403-1,인후유치원,유치원,127.161376,35.8351727,전주덕진경찰서,,237
10,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 무삼지로 67 인후초등학교,전라북도 전주시 덕진구 인후동3가 160,인후초등학교병설유치원,유치원,127.1624875,35.8316583,전주덕진경찰서,,236
11,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 원장동안길 73 장동초등학교병설유치원,전라북도 전주시 덕진구 장동 258-2,장동초등학교병설유치원,유치원,127.060105206,35.8495904,전주덕진경찰서,,235
12,2018-08-14,,N,전라북도 전주시,전라북도 전주시 완산구 호동길 69-23(삼천동 3가) 전주기전대부설유치원,전라북도 전주시 완산구 삼천동3가 603-3,전주기전대부설유치원,유치원,127.0834198,35.7890601,전주완산경찰서,,234
13,2018-08-14,3.0,Y,전라북도 전주시,전라북도 전주시 완산구 전룡3길 8-5 송림유치원,전라북도 전주시 완산구 서신동 886-1,전주송림유치원,유치원,127.1186553,35.8262232,전주완산경찰서,,233
14,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 완산구 대동로 33 전주초등학교,전라북도 전주시 완산구 태평동1가 64,전주초등학교병설유치원,유치원,127.1399546,35.8223449,전주완산경찰서,,232
15,2018-08-14,3.0,Y,전라북도 전주시,전라북도 전주시 덕진구 와룡로 58-3 제이그림나라유치원,전라북도 전주시 덕진구 송천동2가 556-9,제이그림나라유치원,유치원,127.1124423,35.8648942,전주덕진경찰서,,231
16,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 완산구 경기전길 99 중앙초등학교병설유치원,전라북도 전주시 완산구 풍남동3가 67-3,중앙초등학교병설유치원,유치원,127.151375,35.814875,전주완산경찰서,,230
17,2018-08-14,1.0,Y,전라북도 전주시,전라북도 전주시 완산구 중인1길 80 전주중인초등학교,전라북도 전주시 완산구 중인동 585,중인초등학교병설유치원,유치원,127.0973303,35.7709718,전주완산경찰서,,229
18,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 솔내1길 16 호반유치원,전라북도 전주시 덕진구 송천동1가 252-2,즐거운솔빛유치원,유치원,127.1217346,35.8526365,전주덕진경찰서,,228
19,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 완산구 외칠봉1길 11 천사나라유치원,전라북도 전주시 완산구 효자동1가 698-9,천사나라유치원,유치원,127.1366458,35.802961,전주완산경찰서,,227
20,2018-08-14,,N,전라북도 전주시,전라북도 전주시 완산구 용머리로 194 천사유치원,전라북도 전주시 완산구 효자동1가 133,천사유치원,유치원,127.132488,35.8071776,전주완산경찰서,,226
21,2018-08-14,1.0,Y,전라북도 전주시,전라북도 전주시 완산구 인봉남로 18-2 청강유치원,전라북도 전주시 완산구 중노송동 457-7,청강유치원,유치원,127.1547143,35.8255489,전주완산경찰서,,225
22,2018-08-14,,N,전라북도 전주시,전라북도 전주시 덕진구 오송1길 17 엘프어린이집,전라북도 전주시 덕진구 송천동1가 107-144,엘프어린이집,어린이집,127.1286533,35.8632029,전주덕진경찰서,,224
23,2018-08-14,3.0,Y,전라북도 전주시,전라북도 전주시 덕진구 시천로 29-27 예대어린이집,전라북도 전주시 덕진구 송천동1가 616,예대어린이집,어린이집,127.113575,35.8602237,전주덕진경찰서,,223
