,사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
388,160993,2013099,4511112000,45111001,전라북도 전주시 완산구1,전라북도 전주시 완산구 중노송동(이종철치과의원 부근),4,4,0,2,2,0,127.1510622,35.82340736,"{""type"":""Polygon"",""coordinates"":[[[127.1526273,35.8246819],[127.1522919,35.8249061],[127.1519092,35.8250727],[127.151494,35.8251752],[127.1510622,35.8252099],[127.1506304,35.8251752],[127.1502152,35.8250727],[127.1498326,35.8249061],[127.1494972,35.8246819],[127.1492219,35.8244088],[127.1490174,35.8240971],[127.1488915,35.823759],[127.148849,35.8234073],[127.1488915,35.8230557],[127.1490175,35.8227175],[127.149222,35.8224059],[127.1494972,35.8221328],[127.1498326,35.8219086],[127.1502153,35.821742],[127.1506304,35.8216395],[127.1510622,35.8216048],[127.151494,35.8216395],[127.1519092,35.821742],[127.1522918,35.8219086],[127.1526272,35.8221328],[127.1529025,35.8224059],[127.153107,35.8227175],[127.153233,35.8230557],[127.1532755,35.8234073],[127.153233,35.823759],[127.153107,35.8240971],[127.1529025,35.8244088],[127.1526273,35.8246819]]]}"
389,160992,2013099,4511110700,45111002,전라북도 전주시 완산구2,전라북도 전주시 완산구 경원동3가(뉴대한관광여행사 부근),5,5,0,3,2,0,127.1497318,35.81975938,"{""type"":""Polygon"",""coordinates"":[[[127.1512967,35.8210339],[127.1509614,35.8212581],[127.1505787,35.8214247],[127.1501636,35.8215273],[127.1497318,35.8215619],[127.1493,35.8215273],[127.1488848,35.8214247],[127.1485022,35.8212581],[127.1481668,35.8210339],[127.1478916,35.8207608],[127.1476871,35.8204492],[127.1475611,35.820111],[127.1475186,35.8197594],[127.1475611,35.8194077],[127.1476871,35.8190696],[127.1478916,35.8187579],[127.1481669,35.8184848],[127.1485022,35.8182606],[127.1488849,35.8180941],[127.1493,35.8179915],[127.1497318,35.8179569],[127.1501635,35.8179915],[127.1505787,35.8180941],[127.1509613,35.8182606],[127.1512967,35.8184848],[127.1515719,35.8187579],[127.1517765,35.8190696],[127.1519024,35.8194077],[127.1519449,35.8197594],[127.1519024,35.820111],[127.1517765,35.8204492],[127.151572,35.8207608],[127.1512967,35.8210339]]]}"
390,160994,2013099,4511114000,45111003,전라북도 전주시 완산구3,전라북도 전주시 완산구 효자동1가(효자광장 부근),5,5,1,1,3,0,127.1234776,35.80699953,"{""type"":""Polygon"",""coordinates"":[[[127.1250423,35.8082741],[127.124707,35.8084983],[127.1243244,35.8086648],[127.1239093,35.8087674],[127.1234776,35.8088021],[127.1230459,35.8087674],[127.1226308,35.8086648],[127.1222482,35.8084983],[127.1219129,35.8082741],[127.1216377,35.8080009],[127.1214332,35.8076893],[127.1213073,35.8073512],[127.1212648,35.8069995],[127.1213073,35.8066479],[127.1214332,35.8063097],[127.1216377,35.8059981],[127.1219129,35.8057249],[127.1222482,35.8055008],[127.1226308,35.8053342],[127.1230459,35.8052316],[127.1234776,35.805197],[127.1239093,35.8052316],[127.1243244,35.8053342],[127.1247069,35.8055008],[127.1250422,35.8057249],[127.1253174,35.8059981],[127.1255219,35.8063097],[127.1256479,35.8066479],[127.1256904,35.8069995],[127.1256479,35.8073512],[127.125522,35.8076893],[127.1253175,35.8080009],[127.1250423,35.8082741]]]}"
391,139529,2013099,4511112900,45111004,전라북도 전주시 완산구4,전라북도 전주시 완산구 서신동(엘지마트 부근),5,5,1,1,3,0,127.1122154,35.83692799,"{""type"":""Polygon"",""coordinates"":[[[127.1137807,35.8382026],[127.1134453,35.8384267],[127.1130626,35.8385933],[127.1126473,35.8386959],[127.1122154,35.8387305],[127.1117835,35.8386959],[127.1113683,35.8385933],[127.1109856,35.8384267],[127.1106501,35.8382026],[127.1103748,35.8379294],[127.1101703,35.8376178],[127.1100443,35.8372796],[127.1100018,35.836928],[127.1100443,35.8365763],[127.1101703,35.8362382],[127.1103749,35.8359266],[127.1106502,35.8356534],[127.1109856,35.8354292],[127.1113683,35.8352627],[127.1117836,35.8351601],[127.1122154,35.8351255],[127.1126473,35.8351601],[127.1130625,35.8352627],[127.1134452,35.8354292],[127.1137807,35.8356534],[127.114056,35.8359266],[127.1142605,35.8362382],[127.1143865,35.8365763],[127.114429,35.836928],[127.1143865,35.8372796],[127.1142606,35.8376178],[127.114056,35.8379294],[127.1137807,35.8382026]]]}"
392,139628,2013099,4511311000,45113001,전라북도 전주시 덕진구1,전라북도 전주시 덕진구 팔복동3가(신호종합개발㈜ 부근),4,4,0,2,2,0,127.0849036,35.84889129,"{""type"":""Polygon"",""coordinates"":[[[127.0864691,35.8501659],[127.0861336,35.85039],[127.0857508,35.8505566],[127.0853355,35.8506592],[127.0849036,35.8506938],[127.0844716,35.8506592],[127.0840563,35.8505566],[127.0836735,35.85039],[127.083338,35.8501659],[127.0830627,35.8498927],[127.0828581,35.8495811],[127.0827321,35.8492429],[127.0826896,35.8488913],[127.0827321,35.8485396],[127.0828581,35.8482015],[127.0830627,35.8478899],[127.0833381,35.8476167],[127.0836736,35.8473926],[127.0840563,35.847226],[127.0844716,35.8471234],[127.0849036,35.8470888],[127.0853355,35.8471234],[127.0857508,35.847226],[127.0861336,35.8473926],[127.086469,35.8476167],[127.0867444,35.8478899],[127.086949,35.8482015],[127.087075,35.8485396],[127.0871175,35.8488913],[127.087075,35.8492429],[127.086949,35.8495811],[127.0867444,35.8498927],[127.0864691,35.8501659]]]}"
393,160996,2013099,4511310700,45113002,전라북도 전주시 덕진구2,전라북도 전주시 덕진구 금암동(용문고시원 부근),4,4,1,1,2,0,127.1390362,35.84326212,"{""type"":""Polygon"",""coordinates"":[[[127.1406016,35.8445367],[127.1402661,35.8447609],[127.1398834,35.8449274],[127.1394681,35.84503],[127.1390362,35.8450646],[127.1386043,35.84503],[127.138189,35.8449274],[127.1378062,35.8447609],[127.1374707,35.8445367],[127.1371954,35.8442635],[127.1369909,35.8439519],[127.1368649,35.8436138],[127.1368224,35.8432621],[127.1368649,35.8429104],[127.1369909,35.8425723],[127.1371955,35.8422607],[127.1374708,35.8419875],[127.1378063,35.8417634],[127.138189,35.8415968],[127.1386043,35.8414942],[127.1390362,35.8414596],[127.1394681,35.8414942],[127.1398833,35.8415968],[127.1402661,35.8417634],[127.1406016,35.8419875],[127.1408769,35.8422607],[127.1410815,35.8425723],[127.1412074,35.8429104],[127.14125,35.8432621],[127.1412075,35.8436138],[127.1410815,35.8439519],[127.1408769,35.8442635],[127.1406016,35.8445367]]]}"
394,160995,2013099,4511310500,45113003,전라북도 전주시 덕진구3,전라북도 전주시 덕진구 덕진동1가(경기장사거리 부근),6,6,0,2,4,0,127.130754,35.83878374,"{""type"":""Polygon"",""coordinates"":[[[127.1323193,35.8400583],[127.1319839,35.8402825],[127.1316011,35.840449],[127.1311859,35.8405516],[127.130754,35.8405863],[127.1303221,35.8405516],[127.1299068,35.840449],[127.1295241,35.8402825],[127.1291886,35.8400583],[127.1289133,35.8397852],[127.1287088,35.8394735],[127.1285828,35.8391354],[127.1285403,35.8387837],[127.1285828,35.8384321],[127.1287088,35.8380939],[127.1289134,35.8377823],[127.1291887,35.8375092],[127.1295241,35.837285],[127.1299069,35.8371184],[127.1303221,35.8370159],[127.130754,35.8369812],[127.1311858,35.8370159],[127.1316011,35.8371184],[127.1319838,35.837285],[127.1323193,35.8375092],[127.1325946,35.8377823],[127.1327991,35.8380939],[127.1329251,35.8384321],[127.1329677,35.8387837],[127.1329251,35.8391354],[127.1327992,35.8394735],[127.1325946,35.8397852],[127.1323193,35.8400583]]]}"
867,206093,2014109,4511310300,45113001,전라북도 전주시 덕진구1,전라북도 전주시 덕진구 인후동1가(안골네거리 부근),4,4,0,2,2,0,127.156558,35.8366232,"{""type"":""Polygon"",""coordinates"":[[[127.1581233,35.8378978],[127.1577878,35.8381219],[127.1574051,35.8382885],[127.1569898,35.8383911],[127.156558,35.8384257],[127.1561261,35.8383911],[127.1557108,35.8382885],[127.1553281,35.8381219],[127.1549927,35.8378978],[127.1547174,35.8376246],[127.1545128,35.837313],[127.1543869,35.8369748],[127.1543443,35.8366232],[127.1543869,35.8362715],[127.1545129,35.8359334],[127.1547174,35.8356218],[127.1549927,35.8353486],[127.1553282,35.8351245],[127.1557109,35.8349579],[127.1561261,35.8348553],[127.156558,35.8348207],[127.1569898,35.8348553],[127.1574051,35.8349579],[127.1577878,35.8351245],[127.1581232,35.8353486],[127.1583985,35.8356218],[127.1586031,35.8359334],[127.1587291,35.8362715],[127.1587716,35.8366232],[127.1587291,35.8369748],[127.1586031,35.837313],[127.1583986,35.8376246],[127.1581233,35.8378978]]]}"
1436,6097400,2015046,4511112900,45111001,전라북도 전주시 완산구1,전라북도 전주시 완산구 서신동(통일광장사거리 부근),5,6,0,1,5,0,127.1229173,35.83305528,"{""type"":""Polygon"",""coordinates"":[[[127.1244825,35.8343298],[127.1241471,35.834554],[127.1237644,35.8347206],[127.1233491,35.8348232],[127.1229173,35.8348578],[127.1224854,35.8348232],[127.1220702,35.8347206],[127.1216875,35.834554],[127.121352,35.8343298],[127.1210768,35.8340567],[127.1208722,35.8337451],[127.1207463,35.8334069],[127.1207037,35.8330553],[127.1207463,35.8327036],[127.1208722,35.8323655],[127.1210768,35.8320538],[127.1213521,35.8317807],[127.1216875,35.8315565],[127.1220702,35.83139],[127.1224854,35.8312874],[127.1229173,35.8312528],[127.1233491,35.8312874],[127.1237643,35.83139],[127.124147,35.8315565],[127.1244824,35.8317807],[127.1247577,35.8320538],[127.1249623,35.8323655],[127.1250883,35.8327036],[127.1251308,35.8330553],[127.1250883,35.8334069],[127.1249623,35.8337451],[127.1247578,35.8340567],[127.1244825,35.8343298]]]}"
1437,6095568,2015046,4511111700,45111002,전라북도 전주시 완산구2,전라북도 전주시 완산구 고사동(충경로사거리 부근),4,4,1,1,2,0,127.1468193,35.81894827,"{""type"":""Polygon"",""coordinates"":[[[127.1483843,35.8202228],[127.1480489,35.820447],[127.1476663,35.8206136],[127.1472511,35.8207162],[127.1468193,35.8207508],[127.1463875,35.8207162],[127.1459724,35.8206136],[127.1455897,35.820447],[127.1452544,35.8202228],[127.1449791,35.8199497],[127.1447746,35.8196381],[127.1446487,35.8192999],[127.1446062,35.8189483],[127.1446487,35.8185966],[127.1447746,35.8182585],[127.1449792,35.8179468],[127.1452544,35.8176737],[127.1455898,35.8174495],[127.1459724,35.817283],[127.1463875,35.8171804],[127.1468193,35.8171458],[127.1472511,35.8171804],[127.1476662,35.817283],[127.1480488,35.8174495],[127.1483842,35.8176737],[127.1486594,35.8179468],[127.148864,35.8182585],[127.1489899,35.8185966],[127.1490324,35.8189483],[127.1489899,35.8192999],[127.148864,35.8196381],[127.1486595,35.8199497],[127.1483843,35.8202228]]]}"
