,Unnamed: 0,index,학교명,주소,Latitude,Longitude
0,0,0.0,전주교대전주부설초,완산구 팔달로 74,35.8084101,127.1510919
1,1,1.0,전주금암초,덕진구 권삼득로 210,35.8377291,127.1367111
2,2,2.0,전주금평초,덕진구 명주3길 16,35.8436243,127.1474158
3,3,3.0,전주기린초,덕진구 견훤로 260,35.8346915,127.1597066
4,4,4.0,전주남초,완산구 장승배기로 376,35.8033598,127.1507905
5,5,5.0,전주대성초,완산구 고덕산1길 20,35.7975438,127.1777827
6,6,6.0,전주대정초,완산구 맏내로 57,35.7858043,127.1254214
7,7,7.0,전주덕일초,덕진구 하가로 71,35.8486913,127.1121699
8,8,8.0,전주덕진초,덕진구 들사평로 61,35.8415348,127.1244393
9,9,9.0,전주동초,완산구 물왕멀로 72,35.8291113,127.1524818
10,10,10.0,전주동북초,덕진구 견훤왕궁로 227,35.8393814,127.1448157
11,11,11.0,전주동신초,덕진구 우아9길 1,35.8517913,127.1563943
12,12,12.0,전주만성초,덕진구 중동로 32,35.8329444,127.0621134
13,13,13.0,전주만수초,덕진구 호성로 130,35.8627594,127.1475963
14,14,14.0,전주문정초,완산구 구이로 1979,35.7754577,127.1275964
15,15,15.0,전주문학초,완산구 문학로 30,35.8281125,127.1025524
16,16,16.0,전주미산초,덕진구 전미로 160,35.8840721,127.1096565
17,17,17.0,전주반월초,덕진구 혁신로 707,35.87549449999999,127.0737894
18,18,18.0,전주북초,덕진구 소리로 180,35.8566213,127.1511373
19,19,19.0,전주북일초,덕진구 견훤로 336,35.8421911,127.1556956
20,20,20.0,전주삼천초,완산구 성지산로 38,35.8007149,127.1234834
21,21,21.0,전주삼천남초,완산구 거마남로 65,35.7963075,127.1235993
22,22,22.0,전주새연초,완산구 봉곡로 60,35.8090833,127.1082269
23,23,23.0,전주서곡초,완산구 서곡7길 30,35.83286349999999,127.1005299
24,24,24.0,전주서문초,완산구 서신천변11길 19,35.8296648,127.1120554
25,25,25.0,전주서신초,완산구 전룡로 119,35.8297445,127.1247614
26,26,26.0,전주서원초,완산구 오두정길 45,35.8097765,127.1187742
27,27,27.0,전주서일초,완산구 새터로 73,35.8363631,127.1149615
28,28,28.0,전주서천초,완산구 당산로 9,35.8322952,127.1085728
29,29,29.0,전주송북초,덕진구 천마산로 16,35.8633129,127.1244312
30,30,30.0,전주송원초,덕진구 와룡로 25,35.8617831,127.1112555
31,31,31.0,전주송천초,덕진구 송천1길 10,35.8576601,127.1197603
32,32,32.0,전주신동초,덕진구 솔내로 211,35.8692108,127.1266286
33,33,33.0,전주신성초,완산구 평화8길 16-36,35.790106,127.1341102
34,34,34.0,전주아중초,덕진구 인교5길 23,35.828032,127.17536
35,35,35.0,전주양지초,완산구 양지2길 11-26,35.7926486,127.1258907
36,36,36.0,전주양현초,덕진구 만성서로 96,35.8293872,127.1343073
37,37,37.0,전주여울초,완산구 고사평8길 11,35.837488,127.1111857
38,38,38.0,전주오송초,덕진구 천마산로 87,35.8659851,127.1306203
39,39,39.0,전주온빛초,덕진구 틀못3길 7,35.8424685,127.0567873
40,40,40.0,전주완산초,완산구 매곡로 22,35.8102548,127.1435513
41,41,41.0,전주완산서초,완산구 안행로 127,35.806979,127.1332964
42,42,42.0,전주용덕초,덕진구 용덕길 30,35.8769289,127.0516585
43,43,43.0,전주용소초,덕진구 송천4길 38,35.8623372,127.1175838
44,44,44.0,전주용와초,완산구 장승배기로 14,35.7914425,127.1149012
45,45,45.0,전주용흥초,완산구 삼천천변1길 16,35.7944584,127.1122348
46,46,46.0,전주우림초,완산구 소태정로 21,35.8067149,127.0982501
47,47,47.0,전주우전초,완산구 우전2길 11,35.8054944,127.1066794
48,48,48.0,전주원동초,덕진구 원동로 3,35.8511683,127.0335847
49,49,49.0,전주인봉초,덕진구 무삼지로 7,35.8269357,127.1649923
50,50,50.0,전주인후초,덕진구 무삼지로 67,35.8318716,127.1625875
51,51,51.0,전주장동초,덕진구 원장동길 91-12,35.8488728,127.0617977
52,52,52.0,전주전라초,덕진구 심방죽로 24,35.8393045,127.1522694
